title,content
"What is Durrah Al Munawwara Transport?","Durrah Al Munawwara Transport (شركة درة المنورة للنقل) is a Saudi Arabian transportation and logistics company established in 2014. It specializes in large-scale passenger transit and digital fleet management across the Kingdom and on international routes."
"What does Damic have to do with Durrah Al Munawwara?","[FILL: clarify product/brand relationship — e.g. Damic is the digital platform / customer portal for Durrah Al Munawwara Transport]"
"When was the company founded?","Durrah Al Munawwara Transport was established in 2014."
"Where is Durrah Al Munawwara based?","[FILL: HQ city, office address, Kingdom of Saudi Arabia]"
"What services does Durrah Al Munawwara offer?","Core services include Hajj & Umrah pilgrim transport, international long-haul bus routes (notably Saudi Arabia–Yemen), and worker/corporate daily transit (نقل العمال), supported by a unified digital fleet-management platform with live tracking and operations portals."
"Is Durrah Al Munawwara a Saudi company?","Yes. Durrah Al Munawwara Transport is a Saudi Arabian transportation and logistics company."
"What is the company's Arabic name?","شركة درة المنورة للنقل (Durrah Al Munawwara Transport)."
"Do you operate Hajj and Umrah transport?","Yes. Durrah Al Munawwara is a prominent logistics operator during religious seasons, deploying large bus fleets to shuttle pilgrims between accommodations and the Grand Mosque in Makkah. The company partners with international Hajj missions for high-volume passenger movement."
"How does pilgrim shuttle service work during Hajj and Umrah?","[FILL: how booking works, typical routes (hotel ↔ Haram), schedules, group vs individual, coordination with missions]"
"Do you partner with international Hajj missions?","Yes. Durrah Al Munawwara actively partners with international Hajj missions to manage high-volume pilgrim transport."
"Are your Hajj/Umrah buses accessible for passengers with disabilities?","Yes. The fleet used for pilgrim transport includes disability-friendly bus models."
"Which cities or holy sites do you serve for Hajj and Umrah?","[FILL: Makkah, Madinah, Jeddah, Mina, Arafat, Muzdalifah, etc. — list exact corridors you operate]"
"How do I book Hajj or Umrah transport with you?","[FILL: booking channels — website, phone, WhatsApp, travel agents, mission contracts]"
"Do you operate international bus routes?","Yes. Durrah Al Munawwara operates daily long-haul international bus services connecting Saudi Arabia to various regions across Yemen, using recent-model buses (including 2026 models)."
"Which countries do your international buses go to?","International services currently connect Saudi Arabia with various regions across Yemen. [FILL: add any other countries if applicable]"
"Which Yemen cities or regions do you serve?","[FILL: list origins/destinations and corridor names]"
"Which Saudi departure cities are used for Yemen routes?","[FILL: e.g. Jeddah, Jazan, Najran, Riyadh — list actual terminals]"
"How often do international buses run?","Services are described as daily long-haul international bus operations. [FILL: exact timetable / frequency per corridor]"
"What bus models do you use on international routes?","Recent-model buses are used, including 2026 models. [FILL: seat count, amenities — Wi‑Fi, AC, toilets, luggage limits]"
"How long is the trip from Saudi Arabia to Yemen?","[FILL: typical duration by corridor]"
"What documents do passengers need for international routes?","[FILL: passport, visa, border requirements, minors, luggage rules]"
"How do I book an international bus ticket?","[FILL: booking steps, payment methods, ticket pickup, cancellation policy]"
"What is Worker Transfer / نقل العمال?","Worker Transfer (نقل العمال) is Durrah Al Munawwara’s dedicated division for daily commuting logistics for corporate clients — transporting employees and laborers between residences and job sites."
"Do you provide corporate or employee shuttle services?","Yes. The Worker Transfer division manages daily commuting for corporate clients across residences and workplaces."
"Which companies or industries do you serve for worker transport?","[FILL: sectors — construction, industrial, hospitality, etc. — and whether B2B contract only]"
"How does a company set up a worker transport contract?","[FILL: sales contact, SLA basics, vehicle types, shift coverage, reporting]"
"Do you cover night shifts or 24/7 worker transit?","[FILL: operating windows for worker transfer]"
"What areas or industrial cities do worker buses cover?","[FILL: cities / industrial zones]"
"What types of buses are in your fleet?","[FILL: capacities — e.g. 30/49/50+ seats — and any VIP/coach categories; note disability-friendly models for pilgrim ops]"
"How large is your fleet?","[FILL: approximate number of buses / active vehicles]"
"Are your buses air-conditioned?","[FILL: yes/no and any exceptions]"
"Do you offer live GPS tracking of buses?","Yes. Durrah Al Munawwara’s digital platform provides real-time location tracking for buses to optimize routes and monitor transit times."
"Can customers track their bus in real time?","[FILL: whether tracking is customer-facing via Damic/app/SMS, or operations-only]"
"What is your digital fleet management platform?","Durrah Al Munawwara uses a proprietary unified digital platform for logistics across divisions, including live tracking and operations portals for dispatchers and administrators."
"What can dispatchers do in the operations portal?","Dedicated web dashboards allow dispatchers and administrators to manage daily bus movements, coordinate shift schedules, and generate professional operational reports."
"Is Damic the customer-facing app or chat for Durrah Al Munawwara?","[FILL: describe Damic — quote requests, AI chat, booking status, etc.]"
"How can I request a transport quote?","[FILL: quote form fields — pickup, dropoff, date, vehicle, passengers — and expected response time]"
"What information do you need for a quote?","[FILL: required details]"
"How long does it take to get a quote back?","[FILL: SLA — e.g. within X hours]"
"What are your business / customer support hours?","[FILL: days and hours, Saudi time (AST)]"
"How can I contact Durrah Al Munawwara?","[FILL: phone, WhatsApp, email, website, social links]"
"Where are your ticket offices or terminals?","[FILL: addresses]"
"Do you have a WhatsApp support number?","[FILL: number and languages supported]"
"What languages do you support for customer service?","[FILL: Arabic, English, others]"
"What is your cancellation or refund policy?","[FILL]"
"What is your luggage allowance?","[FILL: pieces, weight, prohibited items — especially for international routes]"
"Can I transport freight or parcels on passenger buses?","[FILL]"
"Do you offer private charter or group hire?","[FILL: charter for events, schools, Umrah groups, corporate events]"
"Do you operate within Riyadh / Jeddah / Dammam city routes?","[FILL: which cities have urban or intercity services beyond the core divisions]"
"Do you run Madinah–Makkah transport outside Hajj season?","[FILL]"
"Are children or infants allowed on buses? How is seating priced?","[FILL]"
"Is smoking or food allowed on board?","[FILL]"
"What safety and licensing standards do you follow?","[FILL: SASO, transport authority licenses, insurance, driver requirements]"
"Are your drivers professionally licensed?","[FILL]"
"Do you provide female-only or family seating options?","[FILL]"
